Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=4, test_batch_size=4, epochs=2, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
  epoch 0, batch 40, loss 4.532244
  epoch 0, batch 80, loss 5.972407
  epoch 0, batch 120, loss 5.034714
  epoch 0, batch 160, loss 6.298644
  epoch 0, batch 200, loss 4.664307
  epoch 0, batch 240, loss 5.386698
  epoch 0, batch 280, loss 3.657521
  epoch 0, batch 320, loss 3.709044
  epoch 0, batch 360, loss 4.146482
  epoch 0, batch 400, loss 3.636597
  epoch 0, batch 440, loss 3.356166
  epoch 0, batch 480, loss 3.361835
  epoch 0, batch 520, loss 3.651279
  epoch 0, batch 560, loss 3.108627
  epoch 0, batch 600, loss 4.179678
  epoch 0, batch 640, loss 3.562685
  epoch 0, batch 680, loss 3.845581
  epoch 0, batch 720, loss 4.234492
  epoch 0, batch 760, loss 3.291146
  epoch 0, batch 800, loss 3.970830
  epoch 0, batch 840, loss 2.668926
  epoch 0, batch 880, loss 2.989931
  epoch 0, batch 920, loss 3.433107
  epoch 0, batch 960, loss 3.968859
  epoch 0, batch 1000, loss 3.639268
  epoch 0, batch 1040, loss 4.045403
  epoch 0, batch 1080, loss 3.664733
  epoch 0, batch 1120, loss 3.871921
  epoch 0, batch 1160, loss 3.592350
  epoch 0, batch 1200, loss 3.245920
  epoch 0, batch 1240, loss 3.291748
  epoch 0, batch 1280, loss 3.316791
  epoch 0, batch 1320, loss 3.730628
  epoch 0, batch 1360, loss 3.741905
  epoch 0, batch 1400, loss 3.869477
  epoch 0, batch 1440, loss 4.036766
  epoch 0, batch 1480, loss 4.167703
  epoch 0, batch 1520, loss 3.930517
  epoch 0, batch 1560, loss 3.478679
  epoch 0, batch 1600, loss 2.748430
  epoch 0, batch 1640, loss 3.508015
  epoch 0, batch 1680, loss 3.064138
  epoch 0, batch 1720, loss 3.393841
  epoch 0, batch 1760, loss 3.192278
  epoch 0, batch 1800, loss 3.001665
